"","Country","currency","price","category","name","X1.EUR.in.Currency","X1.USD.in.Currency","EUR.Average.Monthly.Salary","USD.Average.Monthly.Salary","price_eur","months_to_buy_product"
"84","Australia","AUD",3399,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 1TB - Silver",1.55,1.5,3915.54,4050.82,2192.90322580645,0.560051289427883
"85","Australia","AUD",1999,"mac","13-inch MacBook Pro - Silver",1.55,1.5,3915.54,4050.82,1289.67741935484,0.329374088722076
"86","Australia","AUD",1249,"ipad","10.9-inch iPad Wi‑Fi + Cellular 256GB - Pink",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"87","Australia","AUD",1749,"iphone","iPhone 14 Pro 128GB Silver",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"88","Australia","AUD",999,"ipad","10.9-inch iPad Air Wi-Fi 64GB - Space Gray",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"89","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi 256GB - Starlight",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"90","Australia","AUD",1499,"mac","MacBook Air with M1 chip - Silver",1.55,1.5,3915.54,4050.82,967.096774193548,0.246989374184288
"91","Australia","AUD",2099,"iphone","iPhone 14 Plus 512GB Blue",1.55,1.5,3915.54,4050.82,1354.1935483871,0.345851031629634
"92","Australia","AUD",2999,"mac","14-inch MacBook Pro - Silver",1.55,1.5,3915.54,4050.82,1934.83870967742,0.494143517797652
"93","Australia","AUD",2599,"iphone","iPhone 14 Pro 1TB Space Black",1.55,1.5,3915.54,4050.82,1676.77419354839,0.428235746167422
"94","Australia","AUD",1899,"iphone","iPhone 14 512GB Midnight",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"95","Australia","AUD",749,"ipad","10.9-inch iPad Wi‑Fi 64GB - Blue",1.55,1.5,3915.54,4050.82,483.225806451613,0.123412302377606
"96","Australia","AUD",2499,"mac","24-inch Purple iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1612.25806451613,0.411758803259864
"97","Australia","AUD",2099,"iphone","iPhone 14 Plus 512GB Starlight",1.55,1.5,3915.54,4050.82,1354.1935483871,0.345851031629634
"98","Australia","AUD",1499,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 256GB - Starlight",1.55,1.5,3915.54,4050.82,967.096774193548,0.246989374184288
"99","Australia","AUD",2199,"mac","24-inch Yellow iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1418.70967741935,0.362327974537191
"100","Australia","AUD",2769,"iphone","iPhone 14 Pro Max 1TB Gold",1.55,1.5,3915.54,4050.82,1786.45161290323,0.45624654911027
"101","Australia","AUD",2099,"iphone","iPhone 14 Pro Max 256GB Deep Purple",1.55,1.5,3915.54,4050.82,1354.1935483871,0.345851031629634
"102","Australia","AUD",2679,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 512GB - Silver",1.55,1.5,3915.54,4050.82,1728.38709677419,0.441417300493468
"103","Australia","AUD",2179,"ipad","11-inch iPad Pro Wi-Fi + Cellular 512GB - Space Gray",1.55,1.5,3915.54,4050.82,1405.8064516129,0.35903258595568
"104","Australia","AUD",2769,"iphone","iPhone 14 Pro Max 1TB Deep Purple",1.55,1.5,3915.54,4050.82,1786.45161290323,0.45624654911027
"105","Australia","AUD",1899,"iphone","iPhone 14 512GB Blue",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"106","Australia","AUD",2149,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 128GB - Silver",1.55,1.5,3915.54,4050.82,1386.45161290323,0.354089503083413
"107","Australia","AUD",2419,"iphone","iPhone 14 Pro Max 512GB Silver",1.55,1.5,3915.54,4050.82,1560.64516129032,0.398577248933818
"108","Australia","AUD",1499,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 256GB - Purple",1.55,1.5,3915.54,4050.82,967.096774193548,0.246989374184288
"109","Australia","AUD",2769,"iphone","iPhone 14 Pro Max 1TB Space Black",1.55,1.5,3915.54,4050.82,1786.45161290323,0.45624654911027
"110","Australia","AUD",1899,"mac","24-inch Pink iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"111","Australia","AUD",1899,"iphone","iPhone 14 512GB Purple",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"112","Australia","AUD",1579,"ipad","11-inch iPad Pro Wi-Fi 256GB - Space Gray",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"113","Australia","AUD",3579,"ipad","11-inch iPad Pro Wi-Fi + Cellular 2TB - Silver",1.55,1.5,3915.54,4050.82,2309.03225806452,0.589709786661486
"114","Australia","AUD",1399,"iphone","iPhone 14 128GB Purple",1.55,1.5,3915.54,4050.82,902.58064516129,0.230512431276731
"115","Australia","AUD",2599,"iphone","iPhone 14 Pro 1TB Deep Purple",1.55,1.5,3915.54,4050.82,1676.77419354839,0.428235746167422
"116","Australia","AUD",5249,"mac","16-inch MacBook Pro - Silver",1.55,1.5,3915.54,4050.82,3386.45161290323,0.864874733217698
"117","Australia","AUD",3749,"mac","14-inch MacBook Pro - Silver",1.55,1.5,3915.54,4050.82,2418.70967741935,0.617720589604334
"118","Australia","AUD",5249,"mac","16-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,3386.45161290323,0.864874733217698
"119","Australia","AUD",4049,"mac","16-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,2612.25806451613,0.667151418327007
"120","Australia","AUD",2499,"mac","24-inch Orange iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1612.25806451613,0.411758803259864
"121","Australia","AUD",1579,"iphone","iPhone 14 Plus 128GB Blue",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"122","Australia","AUD",2199,"mac","24-inch Orange iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1418.70967741935,0.362327974537191
"123","Australia","AUD",1899,"mac","24-inch Blue iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"124","Australia","AUD",2499,"mac","24-inch Pink iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1612.25806451613,0.411758803259864
"125","Australia","AUD",3329,"ipad","11-inch iPad Pro Wi-Fi 2TB - Space Gray",1.55,1.5,3915.54,4050.82,2147.74193548387,0.548517429392592
"126","Australia","AUD",1499,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 256GB - Pink",1.55,1.5,3915.54,4050.82,967.096774193548,0.246989374184288
"127","Australia","AUD",999,"ipad","10.9-inch iPad Air Wi-Fi 64GB - Starlight",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"128","Australia","AUD",1499,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 256GB - Space Gray",1.55,1.5,3915.54,4050.82,967.096774193548,0.246989374184288
"129","Australia","AUD",2179,"ipad","11-inch iPad Pro Wi-Fi + Cellular 512GB - Silver",1.55,1.5,3915.54,4050.82,1405.8064516129,0.35903258595568
"130","Australia","AUD",1749,"iphone","iPhone 14 Plus 256GB Blue",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"131","Australia","AUD",3329,"ipad","11-inch iPad Pro Wi-Fi 2TB - Silver",1.55,1.5,3915.54,4050.82,2147.74193548387,0.548517429392592
"132","Australia","AUD",2879,"ipad","11-inch iPad Pro Wi-Fi + Cellular 1TB - Space Gray",1.55,1.5,3915.54,4050.82,1857.41935483871,0.474371186308583
"133","Australia","AUD",2599,"iphone","iPhone 14 Pro 1TB Gold",1.55,1.5,3915.54,4050.82,1676.77419354839,0.428235746167422
"134","Australia","AUD",2099,"iphone","iPhone 14 Pro Max 256GB Space Black",1.55,1.5,3915.54,4050.82,1354.1935483871,0.345851031629634
"135","Australia","AUD",1579,"iphone","iPhone 14 256GB Purple",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"136","Australia","AUD",1829,"ipad","11-inch iPad Pro Wi-Fi + Cellular 256GB - Space Gray",1.55,1.5,3915.54,4050.82,1180,0.301363285779228
"137","Australia","AUD",3129,"ipad","12.9-inch iPad Pro Wi-Fi 1TB - Space Gray",1.55,1.5,3915.54,4050.82,2018.70967741935,0.515563543577477
"138","Australia","AUD",999,"ipad","10.9-inch iPad Air Wi-Fi 64GB - Purple",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"139","Australia","AUD",749,"ipad","10.9-inch iPad Wi‑Fi 64GB - Pink",1.55,1.5,3915.54,4050.82,483.225806451613,0.123412302377606
"140","Australia","AUD",1579,"iphone","iPhone 14 Plus 128GB Purple",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"141","Australia","AUD",1899,"iphone","iPhone 14 Pro Max 128GB Space Black",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"142","Australia","AUD",2099,"iphone","iPhone 14 Pro Max 256GB Gold",1.55,1.5,3915.54,4050.82,1354.1935483871,0.345851031629634
"143","Australia","AUD",2629,"ipad","11-inch iPad Pro Wi-Fi 1TB - Silver",1.55,1.5,3915.54,4050.82,1696.12903225806,0.433178829039689
"144","Australia","AUD",2199,"mac","24-inch Silver iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1418.70967741935,0.362327974537191
"145","Australia","AUD",1829,"ipad","11-inch iPad Pro Wi-Fi + Cellular 256GB - Silver",1.55,1.5,3915.54,4050.82,1180,0.301363285779228
"146","Australia","AUD",1499,"mac","MacBook Air with M1 chip - Gold",1.55,1.5,3915.54,4050.82,967.096774193548,0.246989374184288
"147","Australia","AUD",2879,"ipad","11-inch iPad Pro Wi-Fi + Cellular 1TB - Silver",1.55,1.5,3915.54,4050.82,1857.41935483871,0.474371186308583
"148","Australia","AUD",1399,"iphone","iPhone 14 128GB Blue",1.55,1.5,3915.54,4050.82,902.58064516129,0.230512431276731
"149","Australia","AUD",999,"ipad","10.9-inch iPad Wi‑Fi 256GB - Blue",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"150","Australia","AUD",749,"ipad","10.9-inch iPad Wi‑Fi 64GB - Yellow",1.55,1.5,3915.54,4050.82,483.225806451613,0.123412302377606
"151","Australia","AUD",1579,"iphone","iPhone 14 256GB Starlight",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"152","Australia","AUD",1579,"iphone","iPhone 14 Plus 128GB Midnight",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"153","Australia","AUD",2329,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 256GB - Space Gray",1.55,1.5,3915.54,4050.82,1502.58064516129,0.383748000317016
"154","Australia","AUD",1899,"iphone","iPhone 14 Pro 256GB Silver",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"155","Australia","AUD",1579,"iphone","iPhone 14 256GB Blue",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"156","Australia","AUD",1899,"iphone","iPhone 14 Pro Max 128GB Silver",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"157","Australia","AUD",3749,"mac","14-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,2418.70967741935,0.617720589604334
"158","Australia","AUD",999,"ipad","10.9-inch iPad Wi‑Fi 256GB - Yellow",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"159","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 64GB - Blue",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"160","Australia","AUD",2249,"iphone","iPhone 14 Pro 512GB Space Black",1.55,1.5,3915.54,4050.82,1450.96774193548,0.37056644599097
"161","Australia","AUD",1899,"mac","MacBook Air with M2 chip - Starlight",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"162","Australia","AUD",1899,"iphone","iPhone 14 Pro 256GB Deep Purple",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"163","Australia","AUD",1749,"iphone","iPhone 14 Pro 128GB Deep Purple",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"164","Australia","AUD",1749,"iphone","iPhone 14 Plus 256GB Purple",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"165","Australia","AUD",999,"ipad","10.9-inch iPad Wi‑Fi + Cellular 64GB - Yellow",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"166","Australia","AUD",3749,"mac","16-inch MacBook Pro - Silver",1.55,1.5,3915.54,4050.82,2418.70967741935,0.617720589604334
"167","Australia","AUD",1899,"iphone","iPhone 14 Pro 256GB Gold",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"168","Australia","AUD",2099,"iphone","iPhone 14 Plus 512GB Midnight",1.55,1.5,3915.54,4050.82,1354.1935483871,0.345851031629634
"169","Australia","AUD",1999,"mac","13-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,1289.67741935484,0.329374088722076
"170","Australia","AUD",2079,"ipad","12.9-inch iPad Pro Wi-Fi 256GB - Silver",1.55,1.5,3915.54,4050.82,1341.29032258065,0.342555643048122
"171","Australia","AUD",2349,"mac","MacBook Air with M2 chip - Silver",1.55,1.5,3915.54,4050.82,1515.48387096774,0.387043388898528
"172","Australia","AUD",2349,"mac","MacBook Air with M2 chip - Starlight",1.55,1.5,3915.54,4050.82,1515.48387096774,0.387043388898528
"173","Australia","AUD",2769,"iphone","iPhone 14 Pro Max 1TB Silver",1.55,1.5,3915.54,4050.82,1786.45161290323,0.45624654911027
"174","Australia","AUD",2249,"iphone","iPhone 14 Pro 512GB Silver",1.55,1.5,3915.54,4050.82,1450.96774193548,0.37056644599097
"175","Australia","AUD",2329,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 256GB - Silver",1.55,1.5,3915.54,4050.82,1502.58064516129,0.383748000317016
"176","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi 256GB - Pink",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"177","Australia","AUD",2349,"mac","MacBook Air with M2 chip - Midnight",1.55,1.5,3915.54,4050.82,1515.48387096774,0.387043388898528
"178","Australia","AUD",2679,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 512GB - Space Gray",1.55,1.5,3915.54,4050.82,1728.38709677419,0.441417300493468
