sku,price,category,name,currency,country,store
MGN93,{'fullPrice': 1390000.0},mac,MacBook Air with M1 chip - Silver,KRW,kr,AOS: Korea Consumer
MLY23,{'fullPrice': 2090000.0},mac,MacBook Air with M2 chip - Starlight,KRW,kr,AOS: Korea Consumer
MLY13,{'fullPrice': 1690000.0},mac,MacBook Air with M2 chip - Starlight,KRW,kr,AOS: Korea Consumer
MLY03,{'fullPrice': 2090000.0},mac,MacBook Air with M2 chip - Silver,KRW,kr,AOS: Korea Consumer
MLXY3,{'fullPrice': 1690000.0},mac,MacBook Air with M2 chip - Silver,KRW,kr,AOS: Korea Consumer
MLXX3,{'fullPrice': 2090000.0},mac,MacBook Air with M2 chip - Space Gray,KRW,kr,AOS: Korea Consumer
MLXW3,{'fullPrice': 1690000.0},mac,MacBook Air with M2 chip - Space Gray,KRW,kr,AOS: Korea Consumer
MLY33,{'fullPrice': 1690000.0},mac,MacBook Air with M2 chip - Midnight,KRW,kr,AOS: Korea Consumer
MLY43,{'fullPrice': 2090000.0},mac,MacBook Air with M2 chip - Midnight,KRW,kr,AOS: Korea Consumer
MGN63,{'fullPrice': 1299.0},mac,MacBook Air with M1 chip - Space Gray,CAD,xf,AOS: French Canada Consumer
MGND3,{'fullPrice': 1299.0},mac,MacBook Air with M1 chip - Gold,CAD,xf,AOS: French Canada Consumer
MGN93,{'fullPrice': 1299.0},mac,MacBook Air with M1 chip - Silver,CAD,xf,AOS: French Canada Consumer
MLY23,{'fullPrice': 1899.0},mac,MacBook Air with M2 chip - Starlight,CAD,xf,AOS: French Canada Consumer
MLY13,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Starlight,CAD,xf,AOS: French Canada Consumer
MLY03,{'fullPrice': 1899.0},mac,MacBook Air with M2 chip - Silver,CAD,xf,AOS: French Canada Consumer
MLXY3,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Silver,CAD,xf,AOS: French Canada Consumer
MLXX3,{'fullPrice': 1899.0},mac,MacBook Air with M2 chip - Space Gray,CAD,xf,AOS: French Canada Consumer
MLXW3,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Space Gray,CAD,xf,AOS: French Canada Consumer
MLY33,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Midnight,CAD,xf,AOS: French Canada Consumer
MLY43,{'fullPrice': 1899.0},mac,MacBook Air with M2 chip - Midnight,CAD,xf,AOS: French Canada Consumer
MGN63,{'fullPrice': 1259.0},mac,MacBook Air with M1 chip - Space Gray,EUR,fi,AOS: Finnish consumer
MGND3,{'fullPrice': 1259.0},mac,MacBook Air with M1 chip - Gold,EUR,fi,AOS: Finnish consumer
MGN93,{'fullPrice': 1259.0},mac,MacBook Air with M1 chip - Silver,EUR,fi,AOS: Finnish consumer
MLY23,{'fullPrice': 1909.0},mac,MacBook Air with M2 chip - Starlight,EUR,fi,AOS: Finnish consumer
MLY13,{'fullPrice': 1559.0},mac,MacBook Air with M2 chip - Starlight,EUR,fi,AOS: Finnish consumer
MLY03,{'fullPrice': 1909.0},mac,MacBook Air with M2 chip - Silver,EUR,fi,AOS: Finnish consumer
MLXY3,{'fullPrice': 1559.0},mac,MacBook Air with M2 chip - Silver,EUR,fi,AOS: Finnish consumer
MLXX3,{'fullPrice': 1909.0},mac,MacBook Air with M2 chip - Space Gray,EUR,fi,AOS: Finnish consumer
MLXW3,{'fullPrice': 1559.0},mac,MacBook Air with M2 chip - Space Gray,EUR,fi,AOS: Finnish consumer
MLY33,{'fullPrice': 1559.0},mac,MacBook Air with M2 chip - Midnight,EUR,fi,AOS: Finnish consumer
MLY43,{'fullPrice': 1909.0},mac,MacBook Air with M2 chip - Midnight,EUR,fi,AOS: Finnish consumer
MGN63,{'fullPrice': 1229.0},mac,MacBook Air with M1 chip - Space Gray,EUR,ie,AOS: Irish Consumer
MGND3,{'fullPrice': 1229.0},mac,MacBook Air with M1 chip - Gold,EUR,ie,AOS: Irish Consumer
MGN93,{'fullPrice': 1229.0},mac,MacBook Air with M1 chip - Silver,EUR,ie,AOS: Irish Consumer
MLY23,{'fullPrice': 1879.0},mac,MacBook Air with M2 chip - Starlight,EUR,ie,AOS: Irish Consumer
MLY13,{'fullPrice': 1529.0},mac,MacBook Air with M2 chip - Starlight,EUR,ie,AOS: Irish Consumer
MLY03,{'fullPrice': 1879.0},mac,MacBook Air with M2 chip - Silver,EUR,ie,AOS: Irish Consumer
MLXY3,{'fullPrice': 1529.0},mac,MacBook Air with M2 chip - Silver,EUR,ie,AOS: Irish Consumer
MLXX3,{'fullPrice': 1879.0},mac,MacBook Air with M2 chip - Space Gray,EUR,ie,AOS: Irish Consumer
MLXW3,{'fullPrice': 1529.0},mac,MacBook Air with M2 chip - Space Gray,EUR,ie,AOS: Irish Consumer
MLY33,{'fullPrice': 1529.0},mac,MacBook Air with M2 chip - Midnight,EUR,ie,AOS: Irish Consumer
MLY43,{'fullPrice': 1879.0},mac,MacBook Air with M2 chip - Midnight,EUR,ie,AOS: Irish Consumer
MGN63,{'fullPrice': 20999.0},mac,MacBook Air with M1 chip - Space Gray,TRY,tr,AOS: Turkey Consumer 
MGND3,{'fullPrice': 20999.0},mac,MacBook Air with M1 chip - Gold,TRY,tr,AOS: Turkey Consumer 
MGN93,{'fullPrice': 20999.0},mac,MacBook Air with M1 chip - Silver,TRY,tr,AOS: Turkey Consumer 
MLY23,{'fullPrice': 32299.0},mac,MacBook Air with M2 chip - Starlight,TRY,tr,AOS: Turkey Consumer 
MLY13,{'fullPrice': 25999.0},mac,MacBook Air with M2 chip - Starlight,TRY,tr,AOS: Turkey Consumer 
MLY03,{'fullPrice': 32299.0},mac,MacBook Air with M2 chip - Silver,TRY,tr,AOS: Turkey Consumer 
MLXY3,{'fullPrice': 25999.0},mac,MacBook Air with M2 chip - Silver,TRY,tr,AOS: Turkey Consumer 
MLXX3,{'fullPrice': 32299.0},mac,MacBook Air with M2 chip - Space Gray,TRY,tr,AOS: Turkey Consumer 
MLXW3,{'fullPrice': 25999.0},mac,MacBook Air with M2 chip - Space Gray,TRY,tr,AOS: Turkey Consumer 
MLY33,{'fullPrice': 25999.0},mac,MacBook Air with M2 chip - Midnight,TRY,tr,AOS: Turkey Consumer 
MLY43,{'fullPrice': 32299.0},mac,MacBook Air with M2 chip - Midnight,TRY,tr,AOS: Turkey Consumer 
MGN63,{'fullPrice': 1749.0},mac,MacBook Air with M1 chip - Space Gray,NZD,nz,AOS: NZ Consumer
MGND3,{'fullPrice': 1749.0},mac,MacBook Air with M1 chip - Gold,NZD,nz,AOS: NZ Consumer
MGN93,{'fullPrice': 1749.0},mac,MacBook Air with M1 chip - Silver,NZD,nz,AOS: NZ Consumer
MLY23,{'fullPrice': 2699.0},mac,MacBook Air with M2 chip - Starlight,NZD,nz,AOS: NZ Consumer
MLY13,{'fullPrice': 2149.0},mac,MacBook Air with M2 chip - Starlight,NZD,nz,AOS: NZ Consumer
MLY03,{'fullPrice': 2699.0},mac,MacBook Air with M2 chip - Silver,NZD,nz,AOS: NZ Consumer
MLXY3,{'fullPrice': 2149.0},mac,MacBook Air with M2 chip - Silver,NZD,nz,AOS: NZ Consumer
MLXX3,{'fullPrice': 2699.0},mac,MacBook Air with M2 chip - Space Gray,NZD,nz,AOS: NZ Consumer
MLXW3,{'fullPrice': 2149.0},mac,MacBook Air with M2 chip - Space Gray,NZD,nz,AOS: NZ Consumer
MLY33,{'fullPrice': 2149.0},mac,MacBook Air with M2 chip - Midnight,NZD,nz,AOS: NZ Consumer
MLY43,{'fullPrice': 2699.0},mac,MacBook Air with M2 chip - Midnight,NZD,nz,AOS: NZ Consumer
MGN63,{'fullPrice': 999.0},mac,MacBook Air with M1 chip - Space Gray,USD,sh,AOS: US Consumer
MGND3,{'fullPrice': 999.0},mac,MacBook Air with M1 chip - Gold,USD,sh,AOS: US Consumer
MGN93,{'fullPrice': 999.0},mac,MacBook Air with M1 chip - Silver,USD,sh,AOS: US Consumer
MLY23,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Starlight,USD,sh,AOS: US Consumer
MLY13,{'fullPrice': 1199.0},mac,MacBook Air with M2 chip - Starlight,USD,sh,AOS: US Consumer
MLY03,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Silver,USD,sh,AOS: US Consumer
MLXY3,{'fullPrice': 1199.0},mac,MacBook Air with M2 chip - Silver,USD,sh,AOS: US Consumer
